Title,Price,Registration Date,Mileage,Fuel Type,Transmission,Engine Size,Doors,Colour,Body Type,URL,Sale Date
VW Golf mk5 1.6 FSI 2007,"1,095.00",2007,135000,Petrol,Manual,1.6,5,Grey,Hatchback,https://www.ebay.co.uk/itm/234153994281?hash=item3684aa6829:g:r~AAAOSwOOVgtR1T, 24 Aug 2021
Volkswagon Golf 1.6 TDI 2011 Manual Diesel 167k miles ,"2,250.00",2011,167000,Diesel,Manual,1.6,5,Blue,Hatchback,https://www.ebay.co.uk/itm/194292211802?hash=item2d3cb7e05a:g:1NwAAOSwgA1hGsS1, 26 Aug 2021
Volkswagen Golf 1.9 TDI 11 Months MOT,650.00,2000,155822,Diesel,Manual,1.9,4,Silver,Hatchback,https://www.ebay.co.uk/itm/124907646705?hash=item1d15136ef1:g:8dsAAOSwb-thRawR, 25 Sep 2021
1999 Volkswagen Golf GTi 1.8 turbo AUM engine V20  British racing green 3 door ,650.00,1999,178000,Petrol,Manual,1.8,3,Green,Hatchback,https://www.ebay.co.uk/itm/114998243091?hash=item1ac66def13:g:7y4AAOSwSEdhL~1m, 25 Sep 2021
VW Golf TDI S ,660.00,2006,203920,Diesel,Manual,1.9,5,,Hatchback,https://www.ebay.co.uk/itm/124908334370?hash=item1d151ded22:g:SlsAAOSwRa1hRe61, 25 Sep 2021
05 VW GOLF TDI GT - BLACK 2.0,970.00,2005,134000,Diesel,Manual,2,5,Black,Hatchback,https://www.ebay.co.uk/itm/255141282989?hash=item3b679b04ad:g:rRMAAOSwO7BhRi6A, 25 Sep 2021
Vw Golf 2002 1.6,395.22,2002,83602,Petrol,Manual,1.6,5,Silver,Hatchback,https://www.ebay.co.uk/itm/255141896065?hash=item3b67a45f81:g:40gAAOSw33ZhEP2n, 26 Sep 2021
VW Golf 2.0 SDI 2005,550.00,2005,123000,Diesel,Manual,2,,Black,Hatchback,https://www.ebay.co.uk/itm/274962501459?hash=item40050acf53:g:43sAAOSwluNg~b4l, 26 Sep 2021
1995 Volkswagen Golf mk3 1.4 Petrol 5Dr,330.00,1995,86684,Petrol,Manual,1.4,5,Grey,Hatchback,https://www.ebay.co.uk/itm/384398616419?hash=item597ff16763:g:tx4AAOSwbWdhQ4zF, 26 Sep 2021
VOLKSWAGEN GOLF 1.9 SE TDI DPF Estate Diesel Black,"1,800.00",2009,146689,Diesel,Manual,1.9,5,Black,Estate,https://www.ebay.co.uk/itm/265329355442?hash=item3dc6dcaab2:g:U40AAOSwgVphTueN, 27 Sep 2021
vw golf 1.9 tdi Grey 1 yr MOT Mechanically Sound,450.00,1998,229551,Diesel,Manual,1.9,5,Grey,Hatchback,https://www.ebay.co.uk/itm/165082573930?hash=item266fb02c6a:g:qT4AAOSw9QBhSEt7, 27 Sep 2021
VW Golf 2000 1.9 tdi mk iv,320.00,2000,77905,Diesel,Manual,1.9,3,Silver,Hatchback,https://www.ebay.co.uk/itm/255144926892?hash=item3b67d29eac:g:WjYAAOSwIG9hSeGP, 28 Sep 2021
VW Golf Plus 1.9 TDI SE,"1,201.99",2005,128000,Diesel,Manual,1.9,5,Red,Hatchback,https://www.ebay.co.uk/itm/234201103027?hash=item3687793ab3:g:8MUAAOSw0VRhTJzv, 28 Sep 2021
VW Golf Driver 1994 - Blue,340.00,1994,160600,Petrol,Manual,1.8,3,Blue,Hatchback,https://www.ebay.co.uk/itm/224623337437?hash=item344c981fdd:g:vDYAAOSwmbdhQI1W, 28 Sep 2021
VOLKSWAGEN GOLF 1.6 TDI 2010 FULL MOT GREY 5 DOOR BLUEMOTION TECH SE,"1,950.00",2010,159370,Diesel,Manual,1.6,5,Grey,Hatchback,https://www.ebay.co.uk/itm/284460200777?hash=item423b263349:g:P14AAOSwMrphSd4q, 28 Sep 2021
